Grapheme	IPA	notes
l:	lː
m	m
m̀:	m̀ː
m̀ᵇ	m̀	what's this?
:m	m	typo?
m̀	m̀
ḿ	ḿ
n	n
nⁿ	n
ǹ	ǹ
Ǹ	ǹ	Collapse archiphoneme simply to n
Ǹ-	ǹ	Collapse archiphoneme simply to n
N-	n	Collapse archiphoneme simply to n
ń	ń
ǹ:	ǹ	typo?
ñ	n
ŋ	ŋ
ŋʷ	ŋʷ	In Bangime
ŋ́	ŋ́
ŋ̀	ŋ̀
ɲ	ɲ
ɲ̀	ɲ̀
ɲ́	ɲ́
ɳ	ɳ
o	o
ò	ò
ò̀	ò	double accent; typo?
ó	ó
o́	ó	double accent; typo?
ô	ô
ǒ	ǒ
o:	oː
ó:	óː
ò:	òː
ǒ:	ǒː
ô:	ôː
ôⁿ	õ̂ 
ô:ⁿ	õ̂ː
ǒ:ⁿ	õ̌ː
ò:ⁿ	õ̀ː
ó:ⁿ	ṍː
óⁿ	ṍ
òⁿ	õ̀
o᷈	o᷈
o᷈:	o᷈ː
o᷈:	typo?
ṍ	ṍ	Used by Hantgan
õ̀	õ̀
o᷈::	o᷈ː	typo?
o̯	o	typo?
ɔ	ɔ
ɔⁿ	ɔ̃
ɔ́	ɔ́
ɔ̀	ɔ̀
ɔ:	ɔː
ɔ̀:	ɔ̀ː
ɔ̀:̀	ɔ̀ː	typo?
ɔ̂	ɔ̂
ɔ̂:	ɔ̂ː
ɔ̌:	ɔ̌ː
ɔ́:	ɔ́ː
ɔ̃	ɔ̃
ɔ̌	ɔ̌
ɔ̌:	ɔ̌ː
ɔ̂ⁿ	ɔ̃̂
ɔ̀:ⁿ	ɔ̃̀ː
ɔ́:ⁿ	ɔ̃́ː
ɔ:ⁿ	ɔ̃ː
ɔ̌ⁿ	ɔ̃̌
ɔ̀ⁿ	ɔ̃̀
ɔ́ⁿ	ɔ̃́
ɔ́ⁿ	ɔ̃́	typo?
ɔ᷈:ⁿ	ɔ̃᷈ː
ɔ̌:ⁿ	ɔ̃̌ː
ɔ̂:ⁿ	ɔ̃̂ː
ɔ̀:ⁿ̀	ɔ̃̀ː
ɔ᷈:	ɔ᷈ː
ɔ᷈	ɔ᷈
ɔ̯	ɔ	typo?
ɔ̀ᵃ	ɔ̀	typo
ɔ̃́	ɔ̃́
ɔ̀ⁿ̀	ɔ̃̀
ɔ᷈ⁿ	ɔ̃᷈
ɔ̃̀	ɔ̃̀	Used by Hantgan
ɞ́	ɞ́	typo?  occurs only once
p	p
pʷ	pʷ	In Bangime
q	q
r	r
rᵃ	r
r̃	r̃	Used by Abbie Hantgan
rⁿ	r̃
rⁿ̀	r̃
rᵘ̀	r	typo?
r̀	r
s	s
sⁿ	s
š	ʃ
ʃ	ʃ
t	t
tʷ	tʷ	In Bangime
ú	ú
ù	ù
û	û
ǔ	ǔ
ũ	ũ
ù:	ùː
ú:	úː
û:	ûː
ǔ:	ǔː
uⁿ	ũː	# why is this here?
ù:ⁿ	ũ̀ː
úⁿ	ṹ
ùⁿ	ũ̀
ûⁿ	ũ̂
ǔⁿ	ũ̌
ú:ⁿ	ṹː
û:ⁿ	ũ̂ː
ǔ:ⁿ	ũ̌ː
u᷈:	u᷈ː
u	u
ʋ	ʋ	In Bangime
ɕ	ɕ	In Bangime
v	v
v́	v́	this marks a tonal vowel
v̀	v̀	this marks a tonal vowel
w	w
wⁿ	w̃
wᵃ	w	typo
ẃ	ẃ
ẁ	ẁ
ẁⁿ	w̃̀
ẃⁿ	w̃́
wⁿ́	w̃́
x	x
y	j
y:	jː
ý	j́
ỳ	j̀
yⁿ	j̃
yⁿ	j̃	typo?
yⁿ̀	j̃
ỳⁿ	j̃̀
ýⁿ	j̃́
ŷⁿ	j̃̂
yᵇ	j	typo?
z	z
ž	z	typo?
ʒ	ʒ
ʤ	dʒ	Used by Hantgan
=∴	NULL
=:	NULL	Length after morpheme / clitic
-:	NULL	Kirill: (length, falling tone)
∴	NULL
?	NULL	missing data
V	NULL	denotes verb
B	NULL
D	NULL
H	NULL
L	NULL
C	NULL
O	NULL
Y	NULL
Ú	NULL
→	NULL	Prolongation tone
(	NULL
]	NULL
[	NULL
)	NULL
≡	NULL	Clitic boundary (Heath)
=	NULL
⇒	NULL
∅	NULL
/	NULL
>	NULL
2	NULL
ꜜ	NULL	Downstep tone
;	NULL
!	NULL
.	NULL
#	NULL
X	NULL
-	NULL
\\	NULL	Used by Kirill to denote multiple forms -- removed in dogon_wordlists data file
̀	NULL	Cases where low tone indicates some grammatical function	 
ɥ	ɥ	Bangime sound
ð	ð	Used by Steven Moran
w̃	w̃	Used by Abbie Hantgan
…	NULL	Used by Laura McPherson
:	ː	Imperative positive PL suffix marker in Ampari
ⁿ	ⁿ	Tomo Kan (adjectival class suffixes if different from nouns)
?#	NULL
X NULL
g#	NULL
l#	NULL
ĺ	l
-ʸŋ	ʸŋ	Heath introduces this in Donno So
ɔ̀=ɔ̀	ɔ̀ː
